date,time,contact_date,sex,race,age,ethnicity,was_frisked,contact_officer,zip,circumstance,basis,key_situations,weather,vehicle_involved
2022-04-09,20:41:00,2022-04-09 20:41:00,Male,White,29,Not of Hispanic Origin,0,010564,02114,Stopped,Probable Cause,NULL,NULL,FALSE
2022-01-01,02:30:00,2022-01-01 02:30:00,Male,Black,25,Not of Hispanic Origin,1,153132,02122,Encountered,Probable Cause,NULL,NULL,TRUE
2022-01-01,10:16:00,2022-01-01 10:16:00,Female,White,44,Unknown,0,162319,02127,Stopped,Reasonable Suspicion,NULL,NULL,FALSE
2022-01-01,10:16:00,2022-01-01 10:16:00,Male,White,54,Not of Hispanic Origin,0,162319,02127,Stopped,Reasonable Suspicion,NULL,NULL,FALSE
2022-01-01,09:29:00,2022-01-01 09:29:00,Male,Black,39,Not of Hispanic Origin,1,148290,02126,Encountered,Encounter,NULL,NULL,FALSE
2022-01-01,10:29:00,2022-01-01 10:29:00,Female,White,31,Not of Hispanic Origin,0,100417,02122,Observed,Probable Cause,NULL,NULL,FALSE
2022-01-01,10:29:00,2022-01-01 10:29:00,Male,Black,35,NULL,0,100417,02122,Observed,Probable Cause,NULL,NULL,FALSE
2022-01-01,11:50:00,2022-01-01 11:50:00,Male,White,39,Not of Hispanic Origin,0,148310,02118,Encountered,Encounter,NULL,NULL,FALSE
2022-01-01,19:35:00,2022-01-01 19:35:00,Male,Black,40,Not of Hispanic Origin,1,090495,02136,Stopped,Reasonable Suspicion,NULL,NULL,TRUE
2022-01-01,19:35:00,2022-01-01 19:35:00,Female,Black,38,Not of Hispanic Origin,0,090495,02136,Stopped,Reasonable Suspicion,NULL,NULL,TRUE
2022-01-01,19:35:00,2022-01-01 19:35:00,Female,Black,41,Not of Hispanic Origin,0,090495,02136,Stopped,Reasonable Suspicion,NULL,NULL,TRUE
2022-01-01,NA,2022-01-01,NA,Black,NA,NULL,0,151206,02118,Stopped,Reasonable Suspicion,NULL,NULL,FALSE
2022-01-01,23:59:00,2022-01-01 23:59:00,Male,White,28,Hispanic Origin,0,157666,02109,Stopped,Probable Cause,NULL,NULL,FALSE
